STATE,COUNTY,POP,CASES,PCI,MHI,OVER65
Texas,Bandera County,20485,20,25364,49215,4114
Georgia,Banks County,18395,14,20231,41141,2300
Nebraska,Banner County,690,2,25814,36875,136
Idaho,Bannock County,82839,31,21327,43534,9243
Michigan,Baraga County,8860,7,17701,41189,1531
Kansas,Barber County,4861,,26229,45920,991
Alabama,Barbour County,27457,23,16829,32911,3909
West Virginia,Barbour County,16589,14,17876,37327,2761
North Dakota,Barnes County,11066,8,31721,50274,2170
Massachusetts,Barnstable County,215888,249,36142,60526,53879
South Carolina,Barnwell County,22621,19,18862,35231,3173
Kentucky,Barren County,42173,62,19745,38873,6500
Wisconsin,Barron County,45870,38,23337,44054,8348
Georgia,Barrow County,69367,60,21379,53274,6472
Michigan,Barry County,59173,39,25059,52186,8611
Missouri,Barry County,35597,39,19489,38710,6271
Indiana,Bartholomew County,76794,71,27359,54165,10731
Kansas,Barton County,27674,,25800,44981,4688
Missouri,Barton County,12402,11,20678,40580,2132
Georgia,Bartow County,100157,87,21022,47197,10611
Texas,Bastrop County,74171,53,23342,51750,8501
Missouri,Bates County,17049,17,21047,38579,3019
Kentucky,Bath County,11591,19,16367,30797,1706
Virginia,Bath County,4731,6,28704,51365,11839
Arkansas,Baxter County,41513,69,21334,35343,11659
Florida,Bay County,168852,181,24498,47461,24559
Michigan,Bay County,107771,100,23799,45376,17507
Wisconsin,Bayfield County,15014,16,25377,44944,3112
Texas,Baylor County,3726,3,28021,33445,935
South Dakota,Beadle County,17398,13,24025,42196,3006
Idaho,Bear Lake County,5986,2,21853,44964,1104
North Carolina,Beaufort County,47759,56,21636,40429,8782
South Carolina,Beaufort County,162233,136,32503,57316,33032
Louisiana,Beauregard Parish,35654,32,22509,46385,4622
Oklahoma,Beaver County,5636,2,26109,51422,872
Pennsylvania,Beaver County,170539,189,26258,49217,31660
Utah,Beaver County,6629,2,19415,46660,832
Montana,Beaverhead County,9246,7,22872,41614,1565
Minnesota,Becker County,32504,,25455,50214,5637
Oklahoma,Beckham County,22119,14,23959,48989,2813
Pennsylvania,Bedford County,49762,69,22259,43290,9476
Tennessee,Bedford County,45058,42,19303,40759,5834
Virginia,Bedford County,68676,38,22322,35593,1052
Texas,Bee County,31861,14,28697,57596,3436
New Hampshire,Belknap County,60088,62,16848,43690,10057
Kentucky,Bell County,28691,37,30518,58654,4508
Texas,Bell County,310235,204,15091,26228,27003
Ohio,Belmont County,70400,63,22857,50060,12419
Minnesota,Beltrami County,44442,,22380,41534,5754
Georgia,Ben Hill County,17634,18,21622,43231,2468
Idaho,Benewah County,9285,9,14204,28547,1699
South Dakota,Bennett County,3431,2,20198,39049,384
Vermont,Bennington County,37125,39,16275,37607,6995
North Dakota,Benson County,6660,4,29196,50221,853
Colorado,Bent County,6499,5,18162,36491,888
Arkansas,Benton County,221339,154,15081,37340,26986
Indiana,Benton County,8854,8,26715,54515,1394
Iowa,Benton County,26076,25,23049,48711,4015
Minnesota,Benton County,38451,,26624,56669,4558
Mississippi,Benton County,8729,8,24453,52200,1343
Missouri,Benton County,19056,43,18597,31060,4936
Oregon,Benton County,85579,36,19717,32951,10280
Tennessee,Benton County,16489,26,26738,48604,3281
Washington,Benton County,175177,112,18456,33033,20586
Michigan,Benzie County,17525,17,28583,60485,3617
New Jersey,Bergen County,905116,596,24831,47366,137103
South Carolina,Berkeley County,177843,158,43347,83794,17794
West Virginia,Berkeley County,104169,101,24165,52427,11858
Pennsylvania,Berks County,411442,335,26264,53515,59558
Massachusetts,Berkshire County,131219,130,26723,55170,24386
New Mexico,Bernalillo County,662564,285,29294,48450,81014
Georgia,Berrien County,19286,20,26814,48801,2664
Michigan,Berrien County,156813,148,16784,32258,25549
North Carolina,Bertie County,21282,25,24013,43633,3656
Alaska,Bethel Census Area,17013,5,17096,30768,1041
Texas,Bexar County,1714773,709,18497,51689,175883
Alabama,Bibb County,22915,21,24253,50112,2906
Georgia,Bibb County,155547,132,17427,36447,19689
Louisiana,Bienville Parish,14353,15,20982,37550,2651
Montana,Big Horn County,12865,4,18958,31543,1290
Wyoming,Big Horn County,11668,8,15695,39966,2108
Minnesota,Big Stone County,5269,,25119,52589,1324
North Dakota,Billings County,783,2,26019,46313,151
Idaho,Bingham County,45607,17,37972,57083,5214
Iowa,Black Hawk County,131090,102,18872,47941,18131
Indiana,Blackford County,12766,15,24273,45747,2268
North Carolina,Bladen County,35190,36,20322,39225,5481
Idaho,Blaine County,21376,8,19154,30164,2476
Montana,Blaine County,6491,4,35524,64042,877
Nebraska,Blaine County,478,2,17437,37151,95
Oklahoma,Blaine County,11943,9,19141,42917,1724
Pennsylvania,Blair County,127089,126,20242,44206,22527
Texas,Blanco County,10497,9,23875,42992,1911
Virginia,Bland County,6824,8,26781,49487,11147
Georgia,Bleckley County,13063,11,18501,42139,1971
Tennessee,Bledsoe County,12876,16,20156,36073,1977
Alabama,Blount County,57322,52,15747,33443,8439
Tennessee,Blount County,123010,141,20730,44145,19770
Minnesota,Blue Earth County,64013,,23788,45991,7562
Idaho,Boise County,7028,7,25380,49935,1118
Mississippi,Bolivar County,34145,27,24324,41056,4113
Missouri,Bollinger County,12363,13,16462,28599,2059
South Dakota,Bon Homme County,7070,4,19470,37716,1347
Illinois,Bond County,17768,15,20941,40980,2671
Idaho,Bonner County,40877,38,23195,48163,7009
Idaho,Bonneville County,104234,37,23221,41414,11343
Arkansas,Boone County,36903,39,22657,50872,6673
Illinois,Boone County,54165,41,22160,38506,6364
Indiana,Boone County,56640,40,25888,60893,6644
Iowa,Boone County,26306,20,37482,67255,4194
Kentucky,Boone County,118811,92,27149,51826,11313
Missouri,Boone County,162642,86,29235,67225,15072
Nebraska,Boone County,5505,4,26895,48627,1164
West Virginia,Boone County,24629,36,25590,45246,3489
Texas,Borden County,641,2,21627,42156,133
Texas,Bosque County,18212,22,50042,71607,3844
Louisiana,Bossier Parish,116979,87,23992,44742,14026
Virginia,Botetourt County,33148,29,27429,53248,1185
North Dakota,Bottineau County,6429,8,32490,65935,1382
Colorado,Boulder County,294567,96,31969,51667,29521
Idaho,Boundary County,10972,8,38011,67956,1832
Kansas,Bourbon County,15173,,19877,37003,2628
Kentucky,Bourbon County,19985,27,19340,39591,3049
Texas,Bowie County,92565,84,22893,40933,13103
North Dakota,Bowman County,3151,3,22911,42346,692
Nebraska,Box Butte County,11308,6,32045,56964,1713
Utah,Box Elder County,49975,8,25046,46373,5563
Kentucky,Boyd County,49542,62,21720,57292,8242
Nebraska,Boyd County,2099,2,24530,40379,557
Kentucky,Boyle County,28432,24,23157,41279,4608
Kentucky,Bracken County,8488,13,22249,41473,1159
Florida,Bradford County,28520,29,20918,39196,4113
