STATE,COUNTY,POP,CASES,PCI,MHI,OVER65
Minnesota,Clay County,58999,,13542,21883,7078
Mississippi,Clay County,20634,18,24550,52410,2952
Missouri,Clay County,221939,179,18273,30764,24964
Nebraska,Clay County,6542,4,29406,60936,1168
North Carolina,Clay County,10587,13,23876,46784,2498
South Dakota,Clay County,13864,10,22081,38828,1421
Tennessee,Clay County,7861,9,20595,38173,1579
Texas,Clay County,10752,10,16867,29727,1919
West Virginia,Clay County,9386,13,25867,53776,1472
Georgia,Clayton County,259424,126,16740,31613,17236
Iowa,Clayton County,18129,14,17950,40606,3504
Colorado,Clear Creek County,9088,4,25074,47494,1132
Pennsylvania,Clearfield County,81642,73,41716,67259,14258
Idaho,Clearwater County,8761,11,21273,41030,1960
Minnesota,Clearwater County,8695,,20256,40134,1621
Alabama,Cleburne County,14972,17,22157,43269,2361
Arkansas,Cleburne County,25970,41,19108,38019,6118
Ohio,Clermont County,197363,189,23044,40246,23244
Arkansas,Cleveland County,8689,14,28761,60365,1416
North Carolina,Cleveland County,98078,96,20622,39420,14677
Oklahoma,Cleveland County,255755,156,20062,38989,26177
Georgia,Clinch County,6798,8,26920,54989,868
Illinois,Clinton County,37762,30,17815,30345,5458
Indiana,Clinton County,33224,32,27802,61720,4776
Iowa,Clinton County,49116,44,21554,48953,8267
Kentucky,Clinton County,10272,18,25966,49559,1703
Michigan,Clinton County,75382,35,16795,27100,9705
Missouri,Clinton County,20743,22,28449,60466,3260
New York,Clinton County,82128,91,25100,53826,10952
Ohio,Clinton County,42040,44,24676,50282,5684
Pennsylvania,Clinton County,39238,32,22026,46048,6350
Kansas,Cloud County,9533,,21875,42184,1948
Mississippi,Coahoma County,26151,20,20467,38534,3186
Oklahoma,Coal County,5925,6,15742,26407,1053
Georgia,Cobb County,688078,351,19752,34867,59972
Arizona,Cochise County,131346,95,33069,63920,22688
Texas,Cochran County,3127,2,23608,45755,465
Tennessee,Cocke County,35662,54,17371,38650,5965
Arizona,Coconino County,134421,36,17476,30573,11924
South Dakota,Codington County,27227,20,23382,49555,4051
Alabama,Coffee County,49948,43,25582,47214,7210
Georgia,Coffee County,42356,34,23380,43768,4691
Tennessee,Coffee County,52796,52,17031,35693,8322
Kansas,Coffey County,8601,,20357,37618,1483
Texas,Coke County,3320,4,27627,51793,862
Alabama,Colbert County,54428,50,26407,40795,9463
Missouri,Cole County,75990,58,21572,39077,9325
Texas,Coleman County,8895,9,26160,53931,1934
Illinois,Coles County,53873,45,18967,31373,7431
Nebraska,Colfax County,10515,5,21970,37040,1428
New Mexico,Colfax County,13750,9,23751,51765,2758
South Carolina,Colleton County,38892,44,21387,37734,6078
Florida,Collier County,321520,251,18769,33233,84951
Texas,Collin County,782341,309,36439,55843,60048
Texas,Collingsworth County,3057,2,37839,82762,546
Virginia,Colonial Heights city,17411,20,22847,41576,27220
Texas,Colorado County,20874,18,27610,50835,4040
Georgia,Colquitt County,45498,46,24348,45146,5863
Arkansas,Columbia County,24552,19,17025,32484,3928
Florida,Columbia County,67531,78,19439,35128,10390
Georgia,Columbia County,124053,76,19306,38070,12700
New York,Columbia County,63096,73,30949,69306,11463
Oregon,Columbia County,49351,43,33613,57336,6883
Pennsylvania,Columbia County,67295,48,26271,54968,10811
Washington,Columbia County,4078,5,23681,44807,937
Wisconsin,Columbia County,56833,44,23814,42519,8294
Ohio,Columbiana County,107841,106,28273,57922,17793
North Carolina,Columbus County,58098,64,21575,42300,8830
California,Colusa County,21419,11,19275,35761,2495
Texas,Comal County,108472,79,21579,52158,16855
Kansas,Comanche County,1891,,32980,65839,455
Oklahoma,Comanche County,124098,83,21041,39375,12702
Texas,Comanche County,13974,10,22363,46036,2923
Texas,Concho County,4087,2,19268,36020,560
Louisiana,Concordia Parish,20822,18,19976,51411,3026
Alabama,Conecuh County,13228,14,16431,29022,2362
Colorado,Conejos County,8256,2,15605,24658,1254
California,Contra Costa County,1049025,533,17316,34526,130438
Wyoming,Converse County,13833,8,38219,78756,1776
Arkansas,Conway County,21273,22,30941,63918,3592
Georgia,Cook County,17212,16,20040,35225,2320
Illinois,Cook County,5194675,3328,18592,34985,620329
Minnesota,Cook County,5176,,30183,54548,1051
Texas,Cooke County,38437,32,32868,52215,6100
Missouri,Cooper County,17601,14,25186,50067,2702
New Hampshire,Coos County,33055,34,22910,45992,6399
Oregon,Coos County,63043,73,24367,41985,13486
Alabama,Coosa County,11539,11,22239,37940,1970
Mississippi,Copiah County,29449,31,18493,37277,4029
South Dakota,Corson County,4050,2,18318,35421,423
New York,Cortland County,49336,47,14262,30880,6458
Texas,Coryell County,75388,44,23179,47151,5684
Ohio,Coshocton County,36901,36,19357,49819,5992
Colorado,Costilla County,3524,2,20526,41274,807
Texas,Cottle County,1505,2,20742,29145,358
Oklahoma,Cotton County,6193,7,21089,34639,1051
Minnesota,Cottonwood County,11687,,21452,46317,2482
Virginia,Covington city,5961,7,23456,45294,6231
Alabama,Covington County,37765,44,20391,35869,6939
Mississippi,Covington County,19568,22,17241,33381,2957
Georgia,Coweta County,127317,88,20160,34319,13240
Kansas,Cowley County,36311,,26757,60813,5726
Washington,Cowlitz County,102410,93,21519,41878,15805
Oklahoma,Craig County,15029,17,23557,47596,2621
Virginia,Craig County,5190,5,19820,39236,2351
Arkansas,Craighead County,96443,86,21498,47806,11740
Texas,Crane County,4375,2,23138,41393,493
North Carolina,Craven County,103505,110,22291,50417,15810
Arkansas,Crawford County,61948,64,24260,47141,8233
Georgia,Crawford County,12630,19,19477,39479,1662
Illinois,Crawford County,19817,20,20556,41586,3336
Indiana,Crawford County,10713,14,25214,46216,1608
Iowa,Crawford County,17096,12,20504,39700,2793
Kansas,Crawford County,39134,,22748,46548,5463
Michigan,Crawford County,14074,14,20974,37378,2928
Missouri,Crawford County,24696,34,21492,40295,4017
Ohio,Crawford County,43784,50,18415,35897,7796
Pennsylvania,Crawford County,88765,82,21478,40783,14712
Wisconsin,Crawford County,16644,16,21741,42504,3062
Oklahoma,Creek County,69967,80,22549,42235,10475
Alabama,Crenshaw County,13906,16,22327,43026,2210
Georgia,Crisp County,23439,22,21343,36275,3273
Arkansas,Crittenden County,50902,42,18185,35240,5477
Kentucky,Crittenden County,9315,13,19665,37751,1687
Tennessee,Crockett County,14586,15,21375,34261,2395
Texas,Crockett County,3719,2,18664,36066,545
Oregon,Crook County,20978,18,23872,50475,4203
Wyoming,Crook County,7083,5,20883,38795,1150
Texas,Crosby County,6059,6,28212,53237,1058
Arkansas,Cross County,17870,20,18959,38187,2759
Minnesota,Crow Wing County,62500,,18701,38085,11564
Colorado,Crowley County,5823,2,26527,47058,614
Texas,Culberson County,2398,2,17187,31477,354
Alabama,Cullman County,80406,79,16227,37105,12810
Virginia,Culpeper County,46689,38,20760,38847,4017
Illinois,Cumberland County,11048,12,27379,64423,1838
Kentucky,Cumberland County,6856,13,22952,43958,1309
Maine,Cumberland County,281674,235,17697,31593,40157
New Jersey,Cumberland County,156898,119,32880,57461,19795
North Carolina,Cumberland County,319431,219,22524,50750,30200
Pennsylvania,Cumberland County,235406,171,23067,45231,36745
Tennessee,Cumberland County,56053,78,31791,60826,14553
Virginia,Cumberland County,10052,10,21141,37188,23146
Nebraska,Cuming County,9139,7,21540,40557,1901
North Carolina,Currituck County,23547,24,24496,47500,3041
New Mexico,Curry County,48376,24,25854,57159,5526
Oregon,Curry County,22364,28,21259,39871,6261
Colorado,Custer County,4255,4,23972,39516,954
Idaho,Custer County,4368,3,25761,32427,818
Montana,Custer County,11699,13,23965,39541,2044
Nebraska,Custer County,10939,8,23910,43524,2283
Oklahoma,Custer County,27469,19,24615,44873,3671
South Dakota,Custer County,8216,7,23261,44972,1766
Ohio,Cuyahoga County,1280122,1060,28356,50074,198541
Georgia,Dade County,16633,20,27423,43804,2397
Missouri,Dade County,7883,9,21690,43205,1617
Utah,Daggett County,1059,2,20034,35483,201
Minnesota,Dakota County,398552,,22811,46917,39816
Nebraska,Dakota County,21006,14,34828,73732,2391
Alabama,Dale County,50251,46,20179,47069,6759
Texas,Dallam County,6703,2,22685,44889,629
Alabama,Dallas County,43820,41,19752,40895,6165
Arkansas,Dallas County,8116,9,17245,26519,1474
Iowa,Dallas County,66135,46,16838,28931,6476
Missouri,Dallas County,16777,18,35844,73847,2853
Texas,Dallas County,2368139,1079,18155,40120,207972
Wisconsin,Dane County,488073,277,26816,49481,50144
Montana,Daniels County,1751,2,33712,61721,435
Virginia,Danville city,43055,44,31449,46100,1382
North Carolina,Dare County,33920,40,19626,30786,5167
Ohio,Darke County,52959,44,30529,55481,8929
South Carolina,Darlington County,68681,67,22511,43425,9793
Pennsylvania,Dauphin County,268100,218,20105,36323,36841
North Carolina,Davidson County,162878,186,29234,54066,23388
Tennessee,Davidson County,626681,446,22549,43083,65403
North Carolina,Davie County,41240,48,28467,47335,6829
Indiana,Daviess County,31648,25,26319,50139,4461
Kentucky,Daviess County,96656,124,21416,47165,14118
Missouri,Daviess County,8433,10,22963,46555,1441
Iowa,Davis County,8753,6,19890,42393,1493
Utah,Davis County,306479,59,22210,45040,24992
South Dakota,Davison County,19504,19,26035,69707,3301
Nebraska,Dawes County,9182,6,24597,48341,1500
Georgia,Dawson County,22330,23,21137,40359,3132
Montana,Dawson County,8966,9,27330,53525,1606
Nebraska,Dawson County,24326,15,26126,50405,3373
Texas,Dawson County,13833,8,20142,46078,1933
South Dakota,Day County,5710,6,17677,39714,1309
New Mexico,De Baca County,2022,24,23126,39761,463
Louisiana,De Soto Parish,26656,22,24879,37660,3848
Illinois,De Witt County,16561,10,17532,41444,10337
Texas,Deaf Smith County,19372,49,27058,56946,2224
Indiana,Dearborn County,50047,2,18059,30619,6567
Georgia,Decatur County,27842,26,22046,48047,3879
Indiana,Decatur County,25740,21,18845,36326,3717
Iowa,Decatur County,8457,8,27154,39333,1533
Kansas,Decatur County,2961,,25368,36258,808
Tennessee,Decatur County,11757,19,22052,38958,2428
Montana,Deer Lodge County,9298,8,22739,47593,1782
Ohio,Defiance County,39037,30,18149,37851,5857
Alabama,DeKalb County,71109,54,28810,50856,9875
Georgia,DeKalb County,691893,323,23696,53375,62228
Illinois,DeKalb County,105160,63,22827,47247,2768
Indiana,DeKalb County,42223,37,16635,44092,5540
Missouri,DeKalb County,12892,13,21606,37482,1771
Tennessee,DeKalb County,18723,21,19072,37909,2956
California,Del Norte County,28610,19,20854,37474,3873
Indiana,Delaware County,117671,115,26261,54076,17277
Iowa,Delaware County,17764,11,23677,44470,2944
New York,Delaware County,47980,52,40189,89757,9321
Ohio,Delaware County,174214,96,21109,36588,16517
Oklahoma,Delaware County,41487,46,33179,64041,8536
Pennsylvania,Delaware County,558979,462,24771,42078,79726
Colorado,Delta County,30952,23,22471,42676,6239
Michigan,Delta County,37069,34,20150,40375,7098
Texas,Delta County,5231,6,35295,72500,1037
Alaska,Denali Borough,1826,2,18544,36311,137
Missouri,Dent County,15657,18,33855,74155,2977
Texas,Denton County,662614,268,33251,50313,46043
Colorado,Denver County,600158,268,24408,42451,62132
Iowa,Des Moines County,40325,47,27524,50209,7096
Oregon,Deschutes County,157733,92,19822,28680,23491
Arkansas,Desha County,13008,14,15088,34963,1970
Florida,DeSoto County,34862,29,21547,39162,6228
Mississippi,DeSoto County,161252,129,25176,58505,16341
Nebraska,Deuel County,1941,2,27199,44922,460
South Dakota,Deuel County,4364,4,27525,51632,839
Oklahoma,Dewey County,4810,2,24860,46488,958
South Dakota,Dewey County,5301,3,15558,30710,515
Texas,DeWitt County,20097,22,26704,51051,3677
Texas,Dickens County,2444,2,23720,46454,481
Virginia,Dickenson County,15903,17,20578,38401,32878
North Dakota,Dickey County,5289,3,18215,33318,1170
Iowa,Dickinson County,16667,20,24644,47359,3712
Kansas,Dickinson County,19754,,31790,56136,3566
Michigan,Dickinson County,26168,26,23895,48890,4967
Tennessee,Dickson County,49666,55,24611,44136,6585
Alaska,Dillingham Census Area,4847,2,21547,44318,367
South Carolina,Dillon County,32062,33,21498,54150,4159
Texas,Dimmit County,9996,5,14988,28817,1419
Virginia,Dinwiddie County,28001,32,17516,36681,2287
District of Columbia,District of Columbia,601723,319,23781,52027,68809
North Dakota,Divide County,2071,2,36303,55057,551
Florida,Dixie County,16422,28,16851,33981,3170
Nebraska,Dixon County,6000,5,23769,47325,1070
West Virginia,Doddridge County,8202,10,19565,37933,1329
Georgia,Dodge County,21796,20,17334,34817,3015
Minnesota,Dodge County,20087,,18114,37292,2460
Nebraska,Dodge County,36691,33,29107,69301,6740
Wisconsin,Dodge County,88759,64,24588,48626,13251
Colorado,Dolores County,2064,2,24573,53075,388
New Mexico,Doña Ana County,209233,94,22880,37750,25881
Kansas,Doniphan County,7945,,22713,46512,1286
Texas,Donley County,3677,5,21904,42411,778
Georgia,Dooly County,14918,10,14510,29012,2055
Wisconsin,Door County,27785,28,30657,50438,6245
Maryland,Dorchester County,32618,32,26388,46361,13852
South Carolina,Dorchester County,136555,100,24495,53857,13849
Georgia,Dougherty County,94565,72,18619,31671,11457
Colorado,Douglas County,285465,90,43634,101591,20343
Georgia,Douglas County,132403,83,23626,52691,11244
Illinois,Douglas County,19980,18,23732,52741,3154
Kansas,Douglas County,110826,,26342,49508,9867
Minnesota,Douglas County,36009,,27716,50905,7069
Missouri,Douglas County,13684,13,16404,32130,2716
Nebraska,Douglas County,517110,338,29180,53325,54875
Nevada,Douglas County,46997,39,34123,60100,220445
Oregon,Douglas County,107667,116,21870,40524,22570
South Dakota,Douglas County,3002,4,28323,49200,727
Washington,Douglas County,38431,22,22467,51908,5443
Wisconsin,Douglas County,44159,43,25129,45418,6361
Arkansas,Drew County,18509,15,17057,31171,2735
Indiana,Dubois County,41889,29,25589,54780,6079
Iowa,Dubuque County,93653,66,26254,51475,14355
Utah,Duchesne County,18607,7,23411,57683,1984
Massachusetts,Dukes County,16535,14,33363,66288,2699
Nebraska,Dundy County,2008,2,28502,47431,461
Missouri,Dunklin County,31953,47,17990,31304,5268
North Dakota,Dunn County,3536,2,33788,60500,616
Wisconsin,Dunn County,43857,22,22499,48893,5323
Illinois,DuPage County,916924,529,38570,78487,106398
North Carolina,Duplin County,58505,52,17122,34433,8295
North Carolina,Durham County,267587,148,29347,51853,26117
New York,Dutchess County,297488,229,33594,72525,40304
Florida,Duval County,864263,713,26143,48323,96169
Texas,Duval County,11782,7,20181,34131,1891
Tennessee,Dyer County,38335,41,21208,38953,5517
Colorado,Eagle County,52197,10,39497,74456,2938
Georgia,Early County,11008,9,17579,28853,1791
Louisiana,East Baton Rouge Parish,440171,236,27505,48506,48030
Louisiana,East Carroll Parish,7759,9,12055,25321,971
Louisiana,East Feliciana Parish,20267,18,22099,47225,2632
Texas,Eastland County,18583,20,21125,34914,3689
Michigan,Eaton County,107759,81,26582,54115,15108
Wisconsin,Eau Claire County,98736,65,25287,48090,12435
Georgia,Echols County,4034,2,15861,31375,398
Texas,Ector County,137130,73,24247,51466,13954
New Mexico,Eddy County,53829,34,28438,49165,7541
North Dakota,Eddy County,2385,2,27323,44250,586
Illinois,Edgar County,18576,21,23368,42133,3469
North Carolina,Edgecombe County,56552,54,16971,33960,8104
South Carolina,Edgefield County,26985,19,20753,43861,3524
Kentucky,Edmonson County,12161,19,19481,37646,2023
South Dakota,Edmunds County,4071,4,25775,49831,883
Illinois,Edwards County,6721,7,20898,39075,1191
Kansas,Edwards County,3037,,24714,46551,581
Texas,Edwards County,2002,2,22015,43839,437
Georgia,Effingham County,52250,45,24824,63030,4763
Illinois,Effingham County,34242,28,27051,52108,5196
California,El Dorado County,181058,119,34884,69297,26524
Colorado,El Paso County,622263,278,28867,57125,2193
Texas,El Paso County,800647,235,18379,40157,14945
Colorado,Elbert County,23086,10,36077,82118,62051
Georgia,Elbert County,20166,20,18835,35817,3390
Kansas,Elk County,2882,,20322,34089,700
Pennsylvania,Elk County,31946,31,23738,45767,6066
Indiana,Elkhart County,197559,141,21109,45693,23962
Nevada,Elko County,48818,23,28358,70238,9479
Kentucky,Elliott County,7852,9,14040,24246,1134
Kansas,Ellis County,28452,,24291,43085,3829
Oklahoma,Ellis County,4151,4,27183,47344,792
Texas,Ellis County,149610,94,25662,61952,82223
Kansas,Ellsworth County,6497,,22789,45865,1228
Alabama,Elmore County,79303,64,23856,54766,9436
Idaho,Elmore County,27038,15,20646,42842,2716
Georgia,Emanuel County,22598,24,17064,32046,3162
Utah,Emery County,10976,3,20137,52763,1368
Iowa,Emmet County,10302,9,27908,48601,1939
Michigan,Emmet County,32694,29,29718,50929,5437
North Dakota,Emmons County,3550,2,27690,38477,971
Virginia,Emporia city,5927,7,19710,32155,1408
Texas,Erath County,37890,24,21670,39586,4779
New York,Erie County,919040,899,27978,50653,144364
Ohio,Erie County,77079,72,26135,46498,13305
Pennsylvania,Erie County,280566,232,24189,45202,40824
Alabama,Escambia County,38319,36,16540,30687,5812
Florida,Escambia County,297619,291,23441,43918,42929
Nevada,Esmeralda County,783,2,20862,30284,4143
Massachusetts,Essex County,743159,591,35167,67311,105083
New Jersey,Essex County,783969,392,32181,55095,90287
New York,Essex County,39370,45,26582,47380,7143
Vermont,Essex County,6306,7,20887,35916,1220
Virginia,Essex County,11151,12,21532,44885,3418
Kentucky,Estill County,14672,23,16435,29184,2247
Alabama,Etowah County,104430,105,20204,38013,16508
Nevada,Eureka County,1987,2,28056,64632,202
Louisiana,Evangeline Parish,33984,30,18023,31832,4490
Georgia,Evans County,11000,7,18998,36788,1505
Alaska,Fairbanks North Star Borough,97581,37,32143,69223,6375
Virginia,Fairfax city,22565,8,44345,97242,22619
Virginia,Fairfax County,1081726,354,50532,110292,1116
Connecticut,Fairfield County,916829,572,48721,82283,124075
Ohio,Fairfield County,146156,118,27031,58786,18075
South Carolina,Fairfield County,23956,22,20257,36120,3565
South Dakota,Fall River County,7094,9,23624,37667,1638
Montana,Fallon County,2890,2,28563,51164,504
Virginia,Falls Church city,12332,5,16486,32908,1682
Texas,Falls County,17866,15,59088,120000,2875
Georgia,Fannin County,23682,32,19164,34239,5197
Texas,Fannin County,33915,40,20337,44355,5765
Minnesota,Faribault County,14553,,25065,44264,3179
South Dakota,Faulk County,2364,2,23069,41453,560
Arkansas,Faulkner County,113237,89,24401,50314,11318
Virginia,Fauquier County,65203,48,39600,88409,886
Alabama,Fayette County,17241,16,18494,33838,3084
Georgia,Fayette County,106567,62,35344,79977,13545
Illinois,Fayette County,22140,17,21523,44722,3580
Indiana,Fayette County,24277,26,18757,37391,4044
Iowa,Fayette County,20880,19,23391,45542,4055
Kentucky,Fayette County,295803,218,29251,48398,31138
Ohio,Fayette County,29030,32,20603,37619,4345
Pennsylvania,Fayette County,136606,146,20884,39115,24580
Tennessee,Fayette County,38413,33,28201,56618,5714
Texas,Fayette County,24554,21,27032,48015,5269
West Virginia,Fayette County,46039,64,18685,33771,7802
Tennessee,Fentress County,17959,27,16454,29192,3047
Montana,Fergus County,11586,9,24429,38344,2490
Washington,Ferry County,7551,5,20052,37571,1428
Minnesota,Fillmore County,20866,,25249,50657,4000
Nebraska,Fillmore County,5890,5,25460,48464,1316
Kansas,Finney County,36776,,21629,47945,3089
Texas,Fisher County,3974,3,22709,42125,884
Florida,Flagler County,95696,129,24497,47233,23405
Montana,Flathead County,90928,78,25790,46581,13103
Kentucky,Fleming County,14348,17,19304,32495,2118
South Carolina,Florence County,136885,120,22432,41910,18017
Wisconsin,Florence County,4423,5,22434,47960,931
Georgia,Floyd County,96317,87,20500,40821,13702
Indiana,Floyd County,74578,71,27185,53961,9660
Iowa,Floyd County,16303,15,24590,43826,3263
Kentucky,Floyd County,39451,64,17716,30476,5351
Texas,Floyd County,6446,4,21655,42279,1145
Virginia,Floyd County,15279,11,21816,44618,5698
Virginia,Fluvanna County,25691,21,30881,68288,1617
Texas,Foard County,1336,2,20202,33750,319
Wisconsin,Fond du Lac County,101633,78,26368,53820,15225
Illinois,Ford County,14081,14,25448,48866,2633
Kansas,Ford County,33848,,19994,51178,3377
Pennsylvania,Forest County,7716,9,13646,36556,1418
Wisconsin,Forest County,9304,13,20462,39963,1888
Mississippi,Forrest County,74934,64,19736,36726,8664
Georgia,Forsyth County,175511,94,34582,86569,15638
North Carolina,Forsyth County,350670,303,26541,45724,45511
Texas,Fort Bend County,585375,212,34084,85297,42758
North Dakota,Foster County,3343,3,33063,50677,758
Indiana,Fountain County,17240,17,23063,45884,3043
Virginia,Franklin city,8582,6,18888,36415,13836
Alabama,Franklin County,31704,28,19135,36766,4825
Arkansas,Franklin County,18125,20,19843,38328,3007
Florida,Franklin County,11549,14,18234,34830,2015
Georgia,Franklin County,22084,28,17620,44962,3729
Idaho,Franklin County,12786,2,20394,36273,1643
Illinois,Franklin County,39561,62,24085,49516,7278
Indiana,Franklin County,23087,24,26102,48355,3261
Iowa,Franklin County,10680,8,22979,49543,2037
Kansas,Franklin County,25992,,26243,46071,3673
Kentucky,Franklin County,49285,55,17752,31214,6882
Maine,Franklin County,30768,26,22083,41626,5160
Massachusetts,Franklin County,71372,58,29259,53663,10878
Mississippi,Franklin County,8118,6,24234,32372,1315
Missouri,Franklin County,101492,101,24742,48857,14000
Nebraska,Franklin County,3225,4,26095,43011,772
New York,Franklin County,51599,48,21575,45667,6880
North Carolina,Franklin County,60619,56,21399,41696,7678
Ohio,Franklin County,1163414,774,28283,50877,115706
Pennsylvania,Franklin County,149618,131,25741,52637,24679
Tennessee,Franklin County,41052,43,22398,42904,7109
Texas,Franklin County,10605,10,28189,45523,1981
Vermont,Franklin County,47746,44,27398,56240,5808
Virginia,Franklin County,56159,52,19503,55177,8215
Washington,Franklin County,78163,27,19588,31928,5696
Louisiana,Franklin Parish,20767,20,24557,45624,3388
Maryland,Frederick County,233385,126,36917,84570,5771
Virginia,Frederick County,78305,64,30112,68424,2663
Virginia,Fredericksburg city,24286,20,27222,47040,15912
Minnesota,Freeborn County,31255,,25668,44683,6309
Texas,Freestone County,19816,20,22876,44502,3285
Colorado,Fremont County,46824,38,18954,39943,8244
Idaho,Fremont County,13242,7,19475,44520,1844
Iowa,Fremont County,7441,7,26930,50520,1456
Wyoming,Fremont County,40123,21,24037,50418,5805
California,Fresno County,930450,389,20208,45563,93421
Texas,Frio County,17217,6,15863,35849,1936
Nebraska,Frontier County,2756,2,25262,50227,523
Arkansas,Fulton County,12245,17,19326,35522,2742
Georgia,Fulton County,920581,458,36757,56857,83424
Illinois,Fulton County,37069,38,22318,45130,6692
Indiana,Fulton County,20836,23,21226,40168,3428
Kentucky,Fulton County,6813,8,18602,33582,1223
New York,Fulton County,55531,67,23839,44276,8901
Ohio,Fulton County,42698,31,24771,52856,6000
Pennsylvania,Fulton County,14845,16,23201,48461,2544
Nebraska,Furnas County,4959,6,22068,39603,1127
Florida,Gadsden County,46389,37,17615,35380,6323
Nebraska,Gage County,22311,22,24555,47654,4326
Texas,Gaines County,17526,6,21572,52910,1577
Virginia,Galax city,7042,11,21769,30325,4620
Illinois,Gallatin County,5589,8,23862,40330,1145
Kentucky,Gallatin County,8589,10,19020,43793,979
Montana,Gallatin County,89513,28,28939,52833,8470
Ohio,Gallia County,30934,35,21168,39226,4940
Texas,Galveston County,291309,191,30926,61877,32804
Nebraska,Garden County,2057,2,26715,39400,560
Colorado,Garfield County,56389,26,26603,57022,4717
Montana,Garfield County,1206,2,25921,45096,248
Nebraska,Garfield County,2049,2,22092,41892,555
Oklahoma,Garfield County,60580,49,24177,44530,9296
Utah,Garfield County,5172,2,21989,45357,831
Washington,Garfield County,2266,2,26954,51548,506
Arkansas,Garland County,96024,128,23170,39162,20098
Kentucky,Garrard County,16912,21,21341,44652,2463
Maryland,Garrett County,30097,20,24932,45206,25914
Oklahoma,Garvin County,27576,32,21285,38245,4758
Texas,Garza County,6461,2,16175,47540,702
Missouri,Gasconade County,15222,16,21830,41392,3062
North Carolina,Gaston County,206086,216,22658,42017,27294
North Carolina,Gates County,12197,9,21187,46592,1831
Kansas,Geary County,34362,,21408,46908,2628
Ohio,Geauga County,93389,64,34455,67663,14474
Idaho,Gem County,16719,16,20250,44432,3107
Michigan,Genesee County,425790,391,22380,42089,58189
New York,Genesee County,60079,59,25403,49922,9390
Alabama,Geneva County,26790,34,20199,35625,4674
Missouri,Gentry County,6738,6,20534,39192,1381
Mississippi,George County,22578,19,20217,43958,2879
South Carolina,Georgetown County,60158,60,24437,40131,11920
Indiana,Gibson County,33503,32,24258,49329,5122
Tennessee,Gibson County,49683,53,20402,38343,8187
Arizona,Gila County,53597,43,20792,39954,12450
Florida,Gilchrist County,16939,19,20180,38406,2856
Tennessee,Giles County,29485,31,19998,38495,4910
Virginia,Giles County,17286,21,23485,45141,3826
Texas,Gillespie County,24837,21,30117,53668,6586
Oregon,Gilliam County,1871,2,25320,44743,415
Georgia,Gilmer County,28292,31,21317,39140,5015
West Virginia,Gilmer County,8693,8,17870,38442,1193
Colorado,Gilpin County,5441,4,38022,63885,514
Montana,Glacier County,13399,8,15604,33519,1414
Florida,Glades County,12884,13,16011,34694,2767
Michigan,Gladwin County,25692,35,20368,37626,5853
Georgia,Glascock County,3082,3,17984,37760,465
Texas,Glasscock County,1226,2,31135,69107,160
California,Glenn County,28122,20,22148,43023,3737
New Jersey,Gloucester County,288288,251,32600,74524,35699
Virginia,Gloucester County,36858,46,28673,60519,1002
Georgia,Glynn County,79626,76,26724,46407,11976
Michigan,Gogebic County,16427,17,20330,34252,3514
Montana,Golden Valley County,884,2,23508,39313,189
North Dakota,Golden Valley County,1680,2,26113,36100,358
Texas,Goliad County,7210,7,30031,50923,1372
Texas,Gonzales County,19807,11,20288,39248,2992
Virginia,Goochland County,21717,23,45039,80976,1936
Minnesota,Goodhue County,46183,,29932,56836,7594
Idaho,Gooding County,15464,12,18373,37050,2328
Georgia,Gordon County,55186,54,19177,40926,6423
Wyoming,Goshen County,13249,10,23475,43257,2500
Nebraska,Gosper County,2044,2,23266,45893,431
Kansas,Gove County,2695,,26233,44866,647
Georgia,Grady County,25011,22,15734,30571,3536
Oklahoma,Grady County,52431,43,23500,49637,7162
New Hampshire,Grafton County,89118,70,30738,54912,13811
Arizona,Graham County,37220,17,17168,44943,4261
Kansas,Graham County,2597,,28146,47500,666
North Carolina,Graham County,8861,10,19780,33903,1742
Tennessee,Grainger County,22657,31,17933,32364,3625
Colorado,Grand County,14843,5,31684,64664,1519
Utah,Grand County,9225,6,23558,45888,1251
North Dakota,Grand Forks County,66861,43,27026,46745,6903
Vermont,Grand Isle County,6970,7,33159,59509,979
Michigan,Grand Traverse County,86986,75,27660,51766,13028
Montana,Granite County,3079,2,26277,45236,753
Arkansas,Grant County,17853,19,23239,49004,2591
Indiana,Grant County,70061,83,20516,39747,11373
Kansas,Grant County,7829,,26370,53213,820
Kentucky,Grant County,24662,24,19829,46159,2648
Minnesota,Grant County,6018,,19018,39654,1334
Nebraska,Grant County,614,2,26665,50030,119
New Mexico,Grant County,29514,21,19968,44167,6299
North Dakota,Grant County,2394,2,22755,37899,645
Oklahoma,Grant County,4527,5,28129,41694,962
Oregon,Grant County,7445,4,27469,46625,1760
South Dakota,Grant County,7356,7,23828,35051,1363
Washington,Grant County,89120,55,24554,48896,10531
West Virginia,Grant County,11937,9,19738,45949,2189
Wisconsin,Grant County,51208,32,20193,41368,7974
Louisiana,Grant Parish,22309,20,21705,46963,2690
North Carolina,Granville County,59916,56,22295,49852,7441
Michigan,Gratiot County,42476,35,18836,40359,6271
Kentucky,Graves County,37121,40,20746,38394,6145
Kansas,Gray County,6006,,25537,57808,761
Texas,Gray County,22535,21,21738,43504,3612
Washington,Grays Harbor County,72797,73,21828,42405,11849
Kentucky,Grayson County,25746,35,19115,32399,3884
Texas,Grayson County,120877,120,24003,46429,18775
Virginia,Grayson County,15533,17,20591,30710,3088
