city,country,continent,area_total,population_total,popdens,nbhd_num,GDPpc_mean,income_mean,PM25_mean,PM25.UESI,NO2_mean,NO2.UESI,UHI_mean,UHI.UESI,TREECAP_mean,TREECAP.UESI,PUBTRANS_mean,PUBTRANS.UESI,TRANSCOV_mean,TRANSCOV.UESI
riodejaneiro,Brazil,South America,1207447137,6366101,5272.364154,162,5319.81104,NA,16.00017667,47.77,14.4199458,56.9,10.442037,28.11,456.2053162,88.61,808.1788538,91.28,0.491035923,71.25
saintpetersburg,Russia,Europe,1442735461,5351935,3709.574725,111,1620.874832,NA,11.90266956,74.33,11.79441179,65.66,-12.07571119,100,1247.958052,97.63,543.7174873,95.71,0.729219704,91.75
saltlakecity,United States of America,North America,241753320,220610,912.5417595,57,4529.422176,63100.57143,7.406585882,100,7.47988767,83.49,4.696595141,56.52,321.4552723,98.09,778.3317617,90.27,0.480483954,67.91
sanfrancisco,United States of America,North America,122074464.5,864263,7079.801688,195,50665.1988,98637.08205,10.73931149,85.39,9.86327559,72.22,1.812728122,68.8,254.4705632,76.05,132.1382265,100,0.975894203,99.66
sanjose,Costa Rica,North America,44910288.25,288054,6413.986889,11,2236.156295,NA,3.3847364,100,3.19321019,92.91,14.15833632,5.6,24.45513551,94.52,434.7276948,97.43,0.675248222,93.06
sansalvador,El Salvador,North America,908373619.7,1565626,1723.548511,19,332.540082,NA,7.894736434,100,7.928324951,80.93,9.4542876,34.73,784.0680271,100,3563.985015,18.11,0.050004565,30.27
santiago,Chile,South America,1328651227,6121436,4607.255745,34,471.8181451,NA,27.26018894,8.31,25.69514494,31.84,9.313386954,35.84,14.37533482,65.78,704.4411519,86.09,0.758376861,92.47
santodomingo,Dominican Republic,North America,91854247.26,1403089,15275.16736,70,21219.74118,NA,4.246814776,100,3.537615714,92.19,12.24141671,18.65,911.162401,73.63,595.8430353,100,0.27738378,35.41
saopaulo,Brazil,South America,1528118727,11253503,7364.285772,96,1530.226148,8631.44,15.63452695,47.8,15.68356612,52.98,9.596840876,33.92,279.8449865,78.52,811.2514942,91.09,0.522266934,80.58
seattle,United States of America,North America,214899374.4,609865,2837.909611,135,12095.71612,74467.00746,5.830071744,100,5.466872998,88.61,-2.582566984,87.87,212.3329813,98.93,251.5970554,100,0.835290363,94.03
seoul,South Korea,Asia,606500000,10178395,16782.18467,25,340.6838283,53468640,27.28186392,7.17,27.21641832,27.95,-2.973714929,89.29,13.18587474,87.56,339.3569085,100,0.867203489,98.96
seville,Spain,Europe,141871976.9,732573,5163.620161,109,10844.1045,10791.14286,10.08052903,93.82,9.15032674,75.21,7.54636541,46.45,19.55136156,36.51,444.7363971,95.25,0.561633148,67.05
shanghai,China,Asia,8580400000,24183300,2818.435038,16,34.60732218,NA,52.14576551,0,52.11374118,0.15,0.689220619,74.74,13.22828488,73.3,3834.119486,50,0.47222237,75.5
shenzhen,China,Asia,2287700000,12452700,5443.327359,10,4.89892644,NA,24.83933133,15.97,24.64700931,34.05,3.501206968,61.08,180.3506027,98.75,2675.329324,56.19,0.304886286,58.63
singapore,Singapore,Asia,780008839.3,3933570,5042.981312,55,938938.3855,50453.82857,25.3421621,15.18,25.2806199,33.05,10.6342374,28.04,28389.33599,95.45,465.5733452,94.93,0.727292491,87.46
siouxfalls,United States of America,North America,776991308.8,184326,237.2304528,41,1847.47803,63211.92683,7.0545887,100,6.954504469,85.93,-2.237807006,86.52,384.232688,100,1198.846571,83.52,0.037570404,12.26
stlouis,United States of America,North America,171339167.4,314867,1837.682562,106,16173.5286,37140.25472,9.379160834,99.71,9.133647616,75.08,3.144159291,62.33,102.1437754,97.29,378.2296807,98.91,0.697303201,89.66
stockholm,Sweden,Europe,214636299.6,959689,4471.23344,132,14262.66863,371461.1774,7.285025957,100,7.424561838,84.06,-11.85891898,100,394.5206792,98.7,265.6272927,100,0.882457882,96.64
sydney,Australia,Oceania,4198749175,4446758,1059.067311,272,152710.0154,7158,4.076014987,100,3.853353662,91.56,5.14830159,55.31,2107.984308,99.73,906.353435,89.57,0.578422659,82.13
tehran,Iran,Asia,628281950.2,8693706,13837.26844,22,322.4126103,NA,14.16933653,54.54,14.50899065,56.21,6.862150098,48.69,0.629537559,51.1,529.8312107,100,0.6944238,93.27
telaviv,Israel,Asia,51713906.28,411563,7958.458945,71,30426.09826,NA,9.449732,99.6,9.670153062,73.14,7.643701493,45.86,1.318771256,42.52,176.9003085,100,0.920070441,96.49
tianjin,China,Asia,11615900000,15568700,1340.292186,16,11.34603278,NA,73.09456535,0,73.08641197,0,-1.503914098,84.53,27.33296772,82.61,7657.891192,37.5,0.349586726,63.26
tokyo,Japan,Asia,618800000,9143041,14775.43794,23,1767.590415,5581739.13,12.55743495,66.55,12.60064921,62.53,3.628687844,60.39,5.958880978,84.42,264.982406,100,0.95128887,99.87
toowoomba,Australia,Oceania,730747461.9,130714,178.877118,13,486.4311578,5634.769231,1.100088613,100,1.089768961,97.94,7.718384378,44.07,830.524095,100,2756.292491,26.2,0.041674598,26.18
toronto,Canada,North America,641649720.4,2731575,4257.112429,25,750.4054964,66536.48,8.14332841,100,7.809345974,81.53,-2.262457964,86.88,104.8023084,100,301.7288878,100,0.857530432,98.84
tulsa,United States of America,North America,1055700642,471631,446.7469101,141,5712.568434,51822.05674,8.110878914,100,8.032535917,80.24,4.629085567,56.9,865.8100805,99.64,933.5990676,95.46,0.0233352,7.73
tunis,Tunisia,Africa,122036734.5,647629,5306.836523,15,323.9360859,NA,6.448194057,100,5.990890641,87.66,4.69191288,56.15,1.06832276,49.67,1197.163566,81.91,0.344328614,62.17
valencia,Spain,Europe,99917708.46,797356,7980.126969,87,15603.10001,11665.19643,10.86680437,84.26,9.601817373,73.5,4.802054723,56.1,46.84757933,32.22,225.6351818,99.25,0.879815623,94.11
vancouver,Canada,North America,113875226.4,633190,5560.384117,118,12515.97673,33647.76271,4.039819236,100,4.003257982,91.24,-2.770007108,86.3,120.178716,98.23,213.5500378,100,0.921204288,98.98
vienna,Austria,Europe,413770103,1897776,4586.546941,23,2095.953069,23163.95652,18.6213293,37.58,18.84934636,47.47,-3.740132432,90.9,66.75438577,91.28,303.1090518,98.54,0.877964195,98.21
vientiane,Laos,Asia,557200000,468953,841.6241924,5,15.26156094,NA,42.09883953,0,40.21113342,13.74,10.73462657,28.48,145.6805449,94.46,3274.045099,20,0.105076593,51.84
warsaw,Poland,Europe,515307339.3,1769529,3433.929356,18,279.8028965,NA,20.8323971,29.36,20.88776698,42.2,-6.463256928,97.08,165.7750063,100,326.4283473,100,0.808514465,96.78
wellington,New Zealand,Oceania,138505014.1,182844,1320.125493,36,1590.0067,93697.22222,1.833232729,100,1.537427978,96.7,-5.491917344,95.12,348.4994019,99.62,421.646076,93.98,0.819061527,95.63
wichita,United States of America,North America,1796981042,448064,249.3426417,112,5860.124526,52792.98214,7.133315815,100,6.834920005,86.16,2.846277418,63.67,512.7962823,100,964.5371632,100,0.002537708,1.09
wuhan,China,Asia,8629200000,10892900,1262.330228,13,6.10745828,39380.23077,49.32289923,0,49.345565,0.79,1.391881738,71.25,61.14001912,83.44,5448.038857,41.22,0.329448319,65.38
yangon,Myanmar,Asia,1000588442,5211431,5208.366179,33,101.602768,NA,23.90239239,19.37,23.73712322,36.22,12.78883074,15.23,14.13715275,90.68,921.7121652,91.49,0.666228671,87.03
yaounde,Cameroon,Africa,290900000,1881876,6469.150911,7,44.18166813,NA,22.31906991,24.98,22.41841449,38.75,9.101818014,37.31,133.5880085,100,4527.770978,13.02,0.031931343,26.91
zagreb,Croatia,Europe,639820686.9,790017,1234.74751,218,7724.487324,NA,17.74772543,40.7,17.12268206,50.64,-3.130991434,89.43,1290.427122,95.46,502.8889353,97.23,0.545382204,73.4
zhenjiang,China,Asia,3840000000,2914000,759.645464,6,7.635605184,45710.16667,60.24642305,0,60.08647237,0,-1.006328026,82.9,140.2862615,100,10336.74223,2.8,0.032467267,32.23
zurich,Switzerland,Europe,91593176.5,429314,4687.183221,12,5078.191033,87.90833333,11.67230016,75.98,11.2924256,67.82,-4.965121408,94.07,109.9309099,100,282.6071625,100,0.929142009,99.69
