"gender","nationality","height","phone","facebook","youtube","shoe","postcode","boxoffice"
"Female","Non-Singaporean",164,NA,4575,3334842,NA,NA,1877924
"Male","Non-Singaporean",170,96,258,2400000,28,9,2.86e+08
"Female","Singaporean",161,10,0,1790000,24.7,0,693481389
"Female","Non-Singaporean",172,18,32,251000,25.9,0,426588510
"Male","Non-Singaporean",181,24,25,643,26.6,4,2.2e+07
"Female","Singaporean",170,17,19,332000,24.7,0,188133322
"Male","Non-Singaporean",182,NA,NA,7400000,40,NA,577563989
"Female","Singaporean",167,82,26,76,25.4,2,79097104
"Female","Singaporean",161.2,86,43,1430810,23.1,1,60262836
"Female","Singaporean",153,30,8,421,23.1,0,216601214
"Female","Non-Singaporean",157.5,NA,208,79,24.7,4,53485989
"Female","Non-Singaporean",157,48,2700,2.2e+07,26.6,0,257584283
"Female","Singaporean",165,78,5200,220086,25.4,4,714421503
"Female","Non-Singaporean",153,90,0,80,37,3,5192743
"Male","Singaporean",178,1,18,128882,28,0,48517427
"Female","Non-Singaporean",167.5,17,100,4700000,23.9,0,303025485
"Male","Non-Singaporean",183,40,140000,1200000,28,0,9797405
"Male","Singaporean",181,52,9400,561000,NA,6,133440870
"Female","Singaporean",163,98,5,140000,24.7,3,436188866
"Male","Singaporean",166,61,0,87,25.9,9,9919850
"Female","Other or prefer not to say",NA,NA,23,175,NA,0,NA
"Male","Non-Singaporean",183,44,96,86,28,0,1938971
"Male","Singaporean",176,34,5,2700000,27.4,5,257584283
"Male","Non-Singaporean",158,75,2,863828,28,3,630161890
"Male","Singaporean",168,26,0,147000,28,5,643347400
"Male","Non-Singaporean",180,20,NA,166943,30,0,357986087
"Male","Singaporean",165,4,4,90,27.4,8,236212192
"Female","Singaporean",161,12,11,2000,24.7,1,NA
"Male","Singaporean",168,81,19,1700000,28,2,101218804
"Female","Non-Singaporean",170,NA,77,366540,23,2,172940046
"Male","Non-Singaporean",162,75,NA,5e+07,28,6,677387716
"Female","Singaporean",167,30,0,4.96e+08,27.4,5,435102366
"Male","Singaporean",165,3,4,99,26.6,4,357986087
"Female","Non-Singaporean",166,2,0,27000,23.9,NA,257620288
"Male","Singaporean",182,53,543,114,27.4,3,675120017
"Male","Singaporean",184,93,50,1086072,28.7,8,2797800564
"Male","Singaporean",172,67,10,39000,28,2,375540831
"Female","Singaporean",154,24,0,134000,26.6,2,48983260
"Female","Singaporean",160,50,NA,2665587,23.9,2,976952911
"Female","Singaporean",164,0,NA,2706214,27.4,4,NA
"Female","Non-Singaporean",161,3,30,1819783,26.6,3,33384127
"Female","Non-Singaporean",167,48,103,1414124,38,2,92108518
"Male","Singaporean",180,59,NA,NA,28,7,NA
"Female","Non-Singaporean",161,75,40,86,23.1,0,1001987315
"Male","Non-Singaporean",183,45,115,87211,28,9,400062763
"Male","Singaporean",170,58,0,264017588,27.4,5,2048359754
"Male","Singaporean",182,29,0,122,28,7,2.503e+09
"Male","Singaporean",165,4,987,121,25.9,3,67745330
"Female","Non-Singaporean",174,45,NA,42000,25.9,3,257584283
"Female","Singaporean",153,5,2000,1900,23,3,225933435
"Male","Non-Singaporean",180,83,5,1e+05,28.5,5,678229452
"Female","Non-Singaporean",163,48,29000,3500000,24.7,3,443112922
"Female","Non-Singaporean",165,24,2,213000,24.7,0,21897373
"Female","Non-Singaporean",152,NA,5,1314,23.1,7,782612155
"Female","Singaporean",157,73,NA,405000,23.9,4,NA
"Male","Singaporean",171,57,163,125,40,7,460998507
"Male","Singaporean",167,56,0,1e+06,26.6,0,869848912
"Female","Non-Singaporean",159,52,0,19000,24.7,0,124.7
"Female","Singaporean",162,9,90,126,24.7,0,1081133191
"Male","Singaporean",175.5,33,0,125,25.9,8,384857224
"Neither","Singaporean",168,96,11000,259000,28.3,6,255184580
"Male","Non-Singaporean",170,55,NA,128,27.4,3,177584879
"Female","Non-Singaporean",158,NA,2,2073499,24.3,0,340487652
"Female","Non-Singaporean",158,NA,79,8360000,39,6,15709652
"Female","Singaporean",160,48,0,129,24.7,5,101344412
"Male","Non-Singaporean",180,35,130,3300000,28,0,3.64e+08
"Male","Singaporean",183,48,42000,47000,28.7,1,272.7
"Male","Non-Singaporean",188,65,15,252018602,29.4,2,48137666
"Female","Non-Singaporean",158,5,3,1700000,24.7,7,245.9
"Male","Non-Singaporean",172,0,18,7314331,25.4,1,392000694
"Female","Singaporean",156,62,0,2600000,25.4,7,665692281
