"","gender","nationality","height","phone","facebook","youtube","shoe","postcode","boxoffice"
"32","Female","Singaporean",170,63,17,599000,27.4,8,384857224
"33","Female","Singaporean",173,74,NA,465866575,27,4,2048359754
"34","Female","Singaporean",160,50,2500,4400000,23.9,7,5192743
"35","Female","Singaporean",151,22,150235,325000,24,7,694474510
"36","Male","Singaporean",176,67,138,3e+05,28,2,7.72e+08
"37","Female","Singaporean",160,67,NA,41,25,NA,2797800564
"38","Male","Non-Singaporean",175,69,0,45200,26.6,3,9100000
"39","Neither, both, it depends, something else, or prefer not to say","Non-Singaporean",178,63,7,45000,28.7,NA,257620288
"40","Female","Singaporean",165,45,66,88,25.4,NA,39730433
"41","Female","Non-Singaporean",165,3,NA,77000,25.4,2,678229452
"42","Female","Singaporean",169,25,0,0,38,8,257620288
"43","Female","Non-Singaporean",154,NA,24,8176,24.7,8,272742922
"44","Male","Non-Singaporean",187,61,50,3e+06,28.7,7,42111945
"45","Female","Singaporean",174,51,0,46,25.9,3,942133343
"46","Female","Singaporean",160,67,NA,41,25,NA,2797800564
"47","Female","Singaporean",165.8,13,NA,824000,25.4,0,906897641
"48","Female","Non-Singaporean",162,NA,512,5800000,27.4,0,66316289
"49","Female","Non-Singaporean",162,23,4,51,23.9,NA,796168971
"50","Male","Singaporean",170,54,10,52,26.6,8,2048359754
"51","Female","Singaporean",162,11,5,183412776,24.7,NA,397217505
"52","Male","Singaporean",176,26,NA,55,25.4,5,NA
"53","Male","Singaporean",173,16,0,6932383,29.4,8,446486482
"54","Male","Singaporean",174,90,NA,58,28.7,NA,693481389
"55","Female","Non-Singaporean",154,38,12,143,37,0,623726085
"56","Male","Singaporean",171,5,NA,NA,25.4,4,NA
"57","Female","Singaporean",164,26,87000,2.2e+07,25.9,2,159413574
"58","Male","Singaporean",173,4,8800,248000,28,8,441809770
"59","Female","Singaporean",156,86,NA,32458,23,4,NA
"60","Male","Non-Singaporean",170,6,105243,4667639,26.6,1,392000694
"61","Male","Singaporean",168,2,18,3029081,25.4,6,1142271098
"62","Female","Singaporean",164,98,0,62,25.9,0,589299
"63","Neither, both, it depends, something else, or prefer not to say","Non-Singaporean",177,50,NA,1046942,29,NA,352114312
"64","Male","Singaporean",177,98,0,2274244,27.4,5,106954678
"65","Female","Non-Singaporean",170,37,NA,397000,26,9,630161890
"66","Male","Singaporean",172,42,2,245000,25.9,8,592950503
"67","Male","Singaporean",162.5,61,1,3,25.9,3,880674679
"68","Male","Singaporean",171,20,32,555,28,6,321455689
"69","Female","Singaporean",163,76,9100,215943,24.7,2,23706381
"70","Female","Non-Singaporean",164,NA,4575,3334842,NA,NA,1877924
"71","Male","Non-Singaporean",170,96,258,2400000,28,9,2.86e+08
"72","Female","Singaporean",161,10,0,1790000,24.7,0,693481389
"73","Female","Non-Singaporean",172,18,32,251000,25.9,0,426588510
"74","Male","Non-Singaporean",181,24,25,643,26.6,NA,2.2e+07
"75","Female","Singaporean",170,17,19,332000,24.7,0,188133322
"76","Male","Non-Singaporean",182,NA,NA,7400000,40,NA,577563989
"77","Female","Singaporean",167,82,26,76,25.4,2,79097104
"78","Female","Singaporean",161.2,86,43,1430810,23.1,1,60262836
"79","Female","Singaporean",153,30,8,421,23.1,0,216601214
"80","Female","Non-Singaporean",157.5,NA,208,79,24.7,4,53485989
"81","Female","Non-Singaporean",157,48,2700,2.2e+07,26.6,0,257584283
"82","Female","Singaporean",165,78,5200,220086,25.4,4,714421503
"83","Female","Non-Singaporean",153,90,0,80,37,NA,5192743
"84","Male","Singaporean",178,1,18,128882,28,0,48517427
"85","Female","Non-Singaporean",167.5,17,100,4700000,23.9,0,303025485
"86","Male","Non-Singaporean",183,40,140000,1200000,28,0,9797405
"87","Male","Singaporean",181,52,9400,561000,NA,6,133440870
"88","Female","Singaporean",163,98,5,140000,24.7,3,436188866
"89","Male","Singaporean",166,61,0,87,25.9,9,9919850
"90","Female","Other or prefer not to say",NA,NA,23,175,NA,0,NA
"91","Male","Non-Singaporean",183,44,96,86,28,0,1938971
"92","Male","Singaporean",176,34,5,2700000,27.4,5,257584283
"93","Male","Non-Singaporean",158,75,2,863828,28,NA,630161890
"94","Male","Singaporean",168,26,0,147000,28,5,643347400
"95","Male","Non-Singaporean",180,20,NA,166943,30,0,357986087
"96","Male","Singaporean",165,4,4,90,27.4,8,236212192
"97","Female","Singaporean",161,12,11,2000,24.7,1,NA
"98","Male","Singaporean",168,81,19,1700000,28,2,101218804
"99","Female","Non-Singaporean",170,NA,77,366540,23,NA,172940046
"100","Male","Non-Singaporean",162,75,NA,5e+07,28,NA,677387716
"101","Female","Singaporean",167,30,0,4.96e+08,27.4,5,435102366
"102","Male","Singaporean",165,3,4,99,26.6,4,357986087
"103","Female","Non-Singaporean",166,2,0,27000,23.9,NA,257620288
"104","Male","Singaporean",182,53,543,114,27.4,NA,675120017
"105","Male","Singaporean",184,93,50,1086072,28.7,8,2797800564
"106","Male","Singaporean",172,67,10,39000,28,2,375540831
"107","Female","Singaporean",154,24,0,134000,26.6,2,48983260
"108","Female","Singaporean",160,50,NA,2665587,23.9,2,976952911
"109","Female","Singaporean",164,0,NA,2706214,27.4,4,NA
"110","Female","Non-Singaporean",161,3,30,1819783,26.6,3,33384127
"111","Female","Non-Singaporean",167,48,103,1414124,38,NA,92108518
"112","Male","Singaporean",180,59,NA,NA,28,7,NA
"113","Female","Non-Singaporean",161,75,40,86,23.1,NA,1001987315
"114","Male","Non-Singaporean",183,45,115,87211,28,9,400062763
"115","Male","Singaporean",170,58,0,264017588,27.4,5,2048359754
"116","Male","Singaporean",182,29,0,122,28,7,2.503e+09
"117","Male","Singaporean",165,4,987,121,25.9,3,67745330
"118","Female","Non-Singaporean",174,45,NA,42000,25.9,3,257584283
"119","Female","Singaporean",153,5,2000,1900,23,3,225933435
"120","Male","Non-Singaporean",180,83,5,1e+05,28.5,5,678229452
"121","Female","Non-Singaporean",163,48,29000,3500000,24.7,NA,443112922
"122","Female","Non-Singaporean",165,24,2,213000,24.7,0,21897373
"123","Female","Non-Singaporean",152,NA,5,1314,23.1,7,782612155
"124","Female","Singaporean",157,73,NA,405000,23.9,NA,NA
"125","Male","Singaporean",171,57,163,125,40,7,460998507
"126","Male","Singaporean",167,56,0,1e+06,26.6,0,869848912
"127","Female","Non-Singaporean",159,52,0,19000,24.7,0,124.7
"128","Female","Singaporean",162,9,90,126,24.7,0,1081133191
"129","Male","Singaporean",175.5,33,0,125,25.9,8,384857224
"130","Neither, both, it depends, something else, or prefer not to say","Singaporean",168,96,11000,259000,28.3,6,255184580
"131","Male","Non-Singaporean",170,55,NA,128,27.4,3,177584879
"132","Female","Non-Singaporean",158,NA,2,2073499,24.3,0,340487652
"133","Female","Non-Singaporean",158,NA,79,8360000,39,6,15709652
"134","Female","Singaporean",160,48,0,129,24.7,5,101344412
"135","Male","Non-Singaporean",180,35,130,3300000,28,0,3.64e+08
"136","Male","Singaporean",183,48,42000,47000,28.7,1,272.7
"137","Male","Non-Singaporean",188,65,15,252018602,29.4,NA,48137666
"138","Female","Non-Singaporean",158,5,3,1700000,24.7,NA,245.9
"139","Male","Non-Singaporean",172,0,18,7314331,25.4,1,392000694
"140","Female","Singaporean",156,62,0,2600000,25.4,7,665692281
"141","Male","Singaporean",173,70,2,120000,28,2,896389289
"142","Male","Non-Singaporean",NA,32,3200,3.88e+08,28,0,693481389
"143","Female","Non-Singaporean",163,NA,NA,3200000,24.7,NA,108101214
"144","Male","Singaporean",170,1,10,136149,27,1,446486224
"145","Female","Non-Singaporean",NA,NA,NA,NA,NA,NA,NA
"146","Male","Non-Singaporean",178,NA,41,4700000,NA,0,60262836
"147","Female","Non-Singaporean",161,20,5,160000,39,NA,1615590
"148","Female","Singaporean",164.5,91,NA,3300000,36,4,974755371
"149","Female","Non-Singaporean",160,96,150,194523460,25.9,0,165335153
"150","Female","Non-Singaporean",165,20,100,25,22.6,NA,693481389
"151","Female","Singaporean",165,22,NA,353234,25.4,NA,1864182
"152","Female","Non-Singaporean",159,52,0,19000,24.7,0,124.7
"153","Female","Non-Singaporean",162,32,7,2.3e+07,38,0,138433435
"154","Male","Singaporean",170,39,0,151000,39,NA,1142271098
"155","Female","Non-Singaporean",151,NA,NA,143000,23.1,0,131458474
"156","Male","Singaporean",170,14,2500,7426596,28,8,67999335
"157","Female","Non-Singaporean",167,98,48,40087,24.7,0,968511805
"158","Male","Singaporean",178,40,250,1000,28.7,1,1023790272
"159","Female","Non-Singaporean",160,67,195,318000,25.9,0,858373000
"160","Female","Non-Singaporean",151,96,6900,1900,23.1,7,124700000
"161","Female","Singaporean",167,83,NA,178,25.7,9,446100000
"162","Male","Non-Singaporean",175,98,NA,3e+06,28,NA,NA
"163","Female","Singaporean",165,0,67,257,38,6,257620288
"164","Male","Singaporean",175,11,15,140000,29.4,NA,204594016
"165","Male","Singaporean",178,69,45,34982,26.6,3,165263234
"166","Male","Singaporean",178,76,0,70000,28,6,1074251311
"167","Male","Non-Singaporean",188,23,0,178,29.4,5,188133322
"168","Male","Singaporean",185,30,4900,1143828,28.7,5,169333034
"169","Female","Singaporean",166,83,0,160000,24.7,5,9919850
"170","Male","Singaporean",180,96,0,420000,29.4,4,5e+06
"171","Male","Singaporean",178,70,2900,178,28.7,NA,41162041
"172","Male","Singaporean",175,40,37,792000,27.4,9,68673228
"173","Female","Singaporean",159,62,12,36198,38,9,1450026933
"174","Female","Singaporean",153,90,166,482951,23.9,2,252909177
"175","Female","Singaporean",172,40,0,244000,25.9,NA,236212992
"176","Male","Non-Singaporean",175,80,0,957172773,27.9,9,807083670
"177","Female","Non-Singaporean",151,65,35,178,23,3,2790439092
"178","Male","Singaporean",180,NA,6000,157000,28.5,5,28815245
"179","Male","Singaporean",180,33,192,179,28,NA,2797800564
"180","Female","Singaporean",165,27,0,70000,25.4,3,694713380
"181","Female","Singaporean",156,11,0,182,38,NA,90355025
"182","Female","Singaporean",164,90,32,56000,25.9,4,320000
"183","Male","Non-Singaporean",180,73,0,1000,28.7,0,1518812988
"184","Male","Non-Singaporean",195.3,90,121,2100,30,0,465361176
"185","Male","Non-Singaporean",182,97,1500,1400,28.7,8,NA
"186","Female","Singaporean",170,36,NA,196,24.7,4,446486482
"187","Female","Non-Singaporean",157,40,NA,200,23.1,2,5986708
"188","Female","Non-Singaporean",166,71,3,200,24.7,5,147792047
"189","Male","Non-Singaporean",177,90,0,200,28.25,5,675120017
"190","Male","Singaporean",180,64,10,33944313,29.4,7,225933435
"191","Female","Singaporean",158,96,0,2.9e+07,23.9,3,257620288
"192","Male","Non-Singaporean",178,43,0,4193,40,9,101218804
"193","Male","Singaporean",178,40,0,215,25.4,4,951227416
"194","Male","Non-Singaporean",182,93,0,200,26.3,NA,693481389
"195","Male","Singaporean",160,15,1,14000,38,0,1142271098
"196","Male","Non-Singaporean",180,65,152,196,28,0,109423648
"197","Female","Non-Singaporean",165,97,34,39942177,26.6,9,592461732
"198","Female","Non-Singaporean",165,45,37,133633,25.9,3,355467056
"199","Female","Non-Singaporean",160,NA,1400,2270000,23.9,4,264118201
"200","Female","Non-Singaporean",164,NA,NA,354980,40,3,54980
"201","Male","Singaporean",175,70,48,301053,27.4,NA,107045109
"202","Female","Non-Singaporean",165,24,24,5800000,24.7,0,269994119
"203","Female","Singaporean",160,45,NA,345000,24.7,8,NA
"204","Female","Singaporean",161,16,NA,NA,25.4,3,NA
"205","Male","Singaporean",170,9,67,237,27.4,2,592461732
"206","Female","Singaporean",165,36,0,0,38,8,235347345
"207","Male","Non-Singaporean",173,63,0,133,25.9,8,326705902
"208","Female","Singaporean",149,71,15,225547,NA,NA,3444145
"209","Male","Singaporean",170,7,5,744,28,4,167849
"210","Female","Singaporean",158,55,267000,703,24.7,3,60722734
"211","Male","Non-Singaporean",175,84,4,87,27,NA,39970386
"212","Male","Non-Singaporean",180,4,21,306000,28.7,0,461991867
"213","Male","Singaporean",178,28,0,176,28.7,5,869848912
